"","state","note","duration"
"1",7,71,0.5
"2",7,71,2
"3",8,72,0.5
"4",8,72,0.25
"5",9,74,1.5
"6",9,74,0.375
"7",10,76,0.125
"8",11,77,0.25
"9",10,76,0.375
"10",10,76,0.25
"11",9,74,1.5
"12",9,74,3
"13",9,74,0.5
"14",8,72,0.375
"15",8,72,0.375
"16",9,74,0.25
"17",8,72,0.375
"18",8,72,0.25
"19",8,72,0.75
"20",9,74,2
"21",9,74,0.125
"22",9,74,0.1875
"23",9,74,0.25
"24",10,76,1.5
"25",11,77,0.5
"26",11,77,0.1875
"27",10,76,4
"28",10,76,0.5
"29",11,77,0.375
"30",11,77,0.25
"31",12,79,2
"32",12,79,1.5
"33",13,81,0.75
"34",14,83,2
"35",13,81,4
"36",12,79,2
"37",11,77,0.375
"38",11,77,1.5
"39",11,77,1
"40",12,79,0.75
"41",12,79,4
"42",12,79,2
"43",12,79,3
"44",13,81,0.5
"45",13,81,0.75
"46",14,83,0.75
"47",13,81,0.375
"48",13,81,0.25
"49",14,83,4
"50",13,81,0.25
"51",14,83,0.125
"52",13,81,0.75
"53",14,83,4
"54",13,81,0.375
"55",14,83,0.125
"56",15,84,1
"57",15,84,0.375
"58",15,84,0.1875
"59",15,84,0.1875
"60",15,84,1
"61",15,84,2
"62",15,84,1
"63",16,86,0.5
"64",15,84,1.5
"65",15,84,0.5
"66",14,83,0.375
"67",14,83,1
"68",15,84,0.75
"69",14,83,0.125
"70",15,84,2
"71",14,83,1.5
"72",14,83,0.75
"73",13,81,3
"74",12,79,3
"75",11,77,1
"76",10,76,0.25
"77",10,76,0.375
"78",9,74,0.25
"79",10,76,0.25
"80",10,76,1
"81",10,76,4
"82",11,77,0.5
"83",12,79,0.75
"84",12,79,0.125
"85",11,77,0.5
"86",10,76,0.5
"87",9,74,1.5
"88",9,74,0.125
"89",10,76,3
"90",10,76,0.75
"91",11,77,2
"92",11,77,2
"93",12,79,3
"94",13,81,3
"95",13,81,2
"96",14,83,0.125
"97",13,81,4
"98",14,83,0.75
"99",14,83,0.375
"100",14,83,1.5
"101",15,84,0.1875
"102",16,86,1.5
"103",17,88,1
"104",18,89,1.5
"105",19,91,1.5
"106",20,93,4
"107",19,91,0.375
"108",20,93,0.1875
"109",21,95,0.75
"110",21,95,0.75
"111",21,95,4
"112",20,93,1.5
"113",19,91,3
"114",20,93,0.375
"115",21,95,0.375
"116",22,96,0.75
"117",22,96,0.5
"118",21,95,1
"119",20,93,0.375
"120",20,93,0.1875
"121",20,93,4
"122",20,93,3
"123",20,93,0.25
"124",19,91,2
"125",20,93,0.75
"126",20,93,0.125
"127",19,91,2
"128",20,93,2
"129",20,93,1
"130",21,95,0.75
"131",20,93,0.5
"132",21,95,1.5
"133",22,96,0.25
"134",21,95,3
"135",22,96,0.75
"136",22,96,2
"137",21,95,1.5
"138",20,93,3
"139",19,91,2
"140",19,91,0.375
"141",20,93,0.5
"142",20,93,2
"143",20,93,4
"144",20,93,0.1875
"145",21,95,0.5
"146",21,95,0.375
"147",21,95,0.75
"148",21,95,1.5
"149",21,95,4
"150",21,95,0.1875
"151",22,96,0.75
"152",21,95,0.125
"153",21,95,0.75
"154",21,95,0.1875
"155",21,95,1
"156",21,95,2
"157",20,93,0.75
"158",20,93,3
"159",19,91,3
"160",20,93,0.5
"161",21,95,4
"162",22,96,4
"163",21,95,0.1875
"164",20,93,2
"165",21,95,0.125
"166",21,95,0.75
"167",20,93,1
"168",19,91,4
"169",19,91,2
"170",19,91,0.375
"171",20,93,0.5
"172",20,93,0.75
"173",19,91,0.375
"174",18,89,0.1875
"175",19,91,0.125
"176",19,91,0.125
"177",19,91,0.375
"178",18,89,1
"179",18,89,4
"180",17,88,0.25
"181",16,86,0.75
"182",16,86,0.375
"183",16,86,0.5
"184",17,88,0.375
"185",18,89,0.375
"186",18,89,1
"187",17,88,0.125
"188",17,88,0.75
"189",17,88,2
"190",17,88,0.375
"191",17,88,1.5
"192",18,89,0.5
"193",17,88,0.125
"194",16,86,0.75
"195",16,86,0.75
"196",15,84,0.75
"197",15,84,1
"198",15,84,4
"199",16,86,0.1875
"200",16,86,0.125
"201",15,84,2
"202",16,86,1.5
"203",17,88,0.75
"204",16,86,1.5
"205",15,84,0.5
"206",14,83,0.25
"207",14,83,0.25
"208",14,83,1
"209",14,83,1
"210",13,81,1.5
"211",12,79,0.25
"212",11,77,1.5
"213",10,76,0.75
"214",9,74,0.75
"215",9,74,0.5
"216",10,76,3
"217",9,74,1.5
"218",9,74,1
"219",8,72,0.1875
"220",7,71,0.1875
"221",6,69,0.5
"222",6,69,0.5
"223",6,69,0.125
"224",7,71,0.125
"225",6,69,0.375
"226",7,71,0.375
"227",7,71,0.5
"228",8,72,1
"229",7,71,0.75
"230",6,69,1
"231",7,71,4
"232",8,72,0.125
"233",8,72,0.375
"234",9,74,0.5
"235",9,74,0.125
"236",9,74,0.75
"237",10,76,4
"238",11,77,2
"239",11,77,2
"240",11,77,2
"241",12,79,1.5
"242",12,79,0.375
"243",11,77,0.125
"244",12,79,0.5
"245",13,81,0.75
"246",13,81,0.375
"247",13,81,0.75
"248",14,83,0.375
"249",15,84,1
"250",16,86,2
"251",15,84,3
"252",14,83,2
"253",13,81,4
"254",12,79,3
"255",13,81,0.1875
"256",13,81,0.25
"257",14,83,0.25
"258",15,84,0.125
"259",16,86,0.1875
"260",15,84,0.25
"261",16,86,1.5
"262",16,86,0.125
"263",17,88,0.375
"264",17,88,3
"265",16,86,0.125
"266",16,86,1.5
"267",15,84,0.125
"268",14,83,0.75
"269",14,83,0.5
"270",15,84,0.75
"271",16,86,1.5
"272",15,84,0.25
"273",14,83,0.75
"274",13,81,1.5
"275",13,81,4
"276",12,79,0.75
"277",12,79,1.5
"278",12,79,0.25
"279",13,81,0.25
"280",14,83,2
"281",14,83,0.25
"282",15,84,0.25
"283",15,84,4
"284",14,83,0.5
"285",15,84,0.375
"286",15,84,0.25
"287",16,86,4
"288",17,88,4
"289",18,89,4
"290",19,91,2
"291",18,89,0.375
"292",19,91,2
"293",19,91,0.5
"294",20,93,1
"295",19,91,4
"296",19,91,2
"297",18,89,2
"298",19,91,0.125
"299",20,93,4
"300",21,95,0.75
"301",21,95,0.1875
"302",21,95,0.375
"303",20,93,1
"304",20,93,0.5
"305",21,95,0.5
"306",22,96,0.75
"307",22,96,0.25
"308",21,95,0.375
"309",20,93,0.75
"310",20,93,0.75
"311",20,93,3
"312",19,91,1.5
"313",20,93,0.5
"314",21,95,0.1875
"315",20,93,1
"316",19,91,1
"317",18,89,0.25
"318",19,91,0.25
"319",19,91,3
"320",20,93,0.125
"321",21,95,0.25
"322",21,95,0.125
"323",21,95,0.1875
"324",21,95,1
"325",22,96,3
"326",21,95,0.5
"327",21,95,0.125
"328",20,93,0.1875
"329",20,93,1.5
"330",19,91,0.375
"331",18,89,0.5
"332",19,91,4
"333",18,89,3
"334",19,91,2
"335",20,93,4
"336",19,91,0.75
"337",19,91,0.125
"338",18,89,0.125
"339",17,88,0.375
"340",16,86,2
"341",16,86,0.5
"342",17,88,0.25
"343",17,88,0.25
"344",17,88,1
"345",16,86,1
"346",17,88,0.75
"347",18,89,2
"348",17,88,4
"349",17,88,4
"350",16,86,0.25
"351",16,86,0.125
"352",16,86,0.1875
"353",17,88,0.5
"354",18,89,0.1875
"355",19,91,4
"356",19,91,0.25
"357",20,93,0.1875
"358",21,95,0.1875
"359",22,96,0.375
"360",21,95,1.5
"361",22,96,0.125
"362",21,95,0.75
"363",21,95,0.5
"364",21,95,1.5
"365",21,95,0.375
"366",21,95,4
"367",21,95,0.375
"368",20,93,0.1875
"369",21,95,0.75
"370",21,95,0.5
"371",21,95,0.75
"372",20,93,4
"373",19,91,3
"374",19,91,0.5
"375",19,91,4
"376",18,89,3
"377",17,88,0.5
"378",16,86,1.5
"379",15,84,2
"380",14,83,0.1875
"381",13,81,0.75
"382",14,83,2
"383",14,83,0.125
"384",14,83,4
"385",15,84,0.75
"386",16,86,0.75
"387",16,86,0.25
"388",15,84,0.25
"389",16,86,0.375
"390",17,88,4
"391",17,88,0.125
"392",18,89,0.75
"393",19,91,4
"394",18,89,0.375
"395",19,91,0.5
"396",18,89,0.375
"397",17,88,0.1875
"398",16,86,2
"399",17,88,0.5
"400",18,89,0.5
"401",19,91,1
"402",18,89,0.5
"403",17,88,2
"404",16,86,2
"405",15,84,0.375
"406",16,86,0.125
"407",17,88,0.125
"408",18,89,1
"409",18,89,0.125
"410",18,89,4
"411",18,89,3
"412",19,91,1.5
"413",19,91,3
"414",18,89,1.5
"415",18,89,1.5
"416",18,89,1.5
"417",18,89,0.5
"418",17,88,2
"419",17,88,0.375
"420",16,86,0.75
"421",15,84,2
"422",14,83,0.75
"423",13,81,2
"424",14,83,0.125
"425",13,81,0.125
"426",14,83,2
"427",15,84,1.5
"428",14,83,3
"429",15,84,1
"430",15,84,3
