"","state","note","duration"
"1",14,86,2
"2",13,84,0.125
"3",13,84,0.375
"4",15,88,0.75
"5",4,69,2
"6",4,69,0.75
"7",8,76,0.375
"8",8,76,1.5
"9",10,79,0.75
"10",8,76,0.375
"11",9,78,0.75
"12",13,84,1
"13",9,78,0.25
"14",7,74,0.1875
"15",9,78,1
"16",9,78,0.375
"17",9,78,4
"18",9,78,1
"19",10,79,0.125
"20",11,81,1
"21",7,74,2
"22",11,81,0.5
"23",9,78,0.25
"24",8,76,0.375
"25",8,76,0.125
"26",4,69,0.5
"27",3,67,2
"28",1,64,1.5
"29",2,66,1
"30",3,67,1
"31",5,71,0.5
"32",3,67,0.5
"33",2,66,4
"34",4,69,0.75
"35",10,79,0.375
"36",9,78,0.5
"37",5,71,0.1875
"38",6,72,0.375
"39",2,66,0.375
"40",6,72,0.75
"41",4,69,4
"42",2,66,0.75
"43",1,64,0.75
"44",3,67,0.75
"45",2,66,0.125
"46",4,69,0.75
"47",2,66,0.75
"48",1,64,0.375
"49",2,66,1
"50",1,64,0.5
"51",3,67,0.25
"52",7,74,1
"53",18,93,1
"54",16,90,0.5
"55",18,93,0.75
"56",16,90,4
"57",20,96,0.75
"58",12,83,0.375
"59",13,84,0.375
"60",12,83,1
"61",8,76,1
"62",11,81,0.75
"63",15,88,0.75
"64",13,84,1.5
"65",13,84,0.5
"66",14,86,0.75
"67",15,88,0.25
"68",11,81,1
"69",15,88,0.5
"70",16,90,0.25
"71",16,90,0.75
"72",13,84,1
"73",20,96,0.5
"74",18,93,0.5
"75",14,86,2
"76",18,93,2
"77",18,93,0.375
"78",19,95,0.1875
"79",20,96,0.375
"80",16,90,1
"81",18,93,2
"82",19,95,0.375
"83",18,93,1
"84",16,90,0.75
"85",16,90,4
"86",17,91,0.75
"87",16,90,4
"88",15,88,3
"89",13,84,3
"90",18,93,0.75
"91",20,96,4
"92",18,93,0.75
"93",17,91,0.25
"94",20,96,0.75
"95",22,100,1
"96",21,98,0.75
"97",21,98,0.375
"98",20,96,0.25
"99",22,100,0.375
"100",11,81,3
"101",12,83,0.75
"102",14,86,0.5
"103",16,90,0.75
"104",20,96,0.5
"105",21,98,0.75
"106",19,95,0.5
"107",21,98,1
"108",22,100,0.25
"109",18,93,4
"110",18,93,0.5
"111",18,93,1.5
"112",22,100,0.5
"113",20,96,0.25
"114",18,93,0.25
"115",14,86,0.5
"116",16,90,0.1875
"117",20,96,1.5
"118",18,93,0.5
"119",22,100,3
"120",22,100,2
"121",20,96,3
"122",18,93,1
"123",13,84,1
"124",21,98,1
"125",20,96,0.1875
"126",22,100,0.375
"127",22,100,1
"128",11,81,0.375
"129",12,83,0.25
"130",9,78,0.75
"131",11,81,1
"132",15,88,0.5
"133",14,86,0.25
"134",10,79,1.5
"135",14,86,1.5
"136",6,72,0.5
"137",7,74,3
"138",9,78,0.25
"139",8,76,2
"140",12,83,4
"141",11,81,1
"142",7,74,0.375
"143",7,74,4
"144",5,71,1
"145",7,74,0.5
"146",5,71,0.125
"147",3,67,1
"148",2,66,0.25
"149",1,64,0.5
"150",5,71,1
"151",5,71,2
"152",6,72,0.75
"153",4,69,4
"154",3,67,1
"155",1,64,1
"156",2,66,0.25
"157",4,69,1
"158",7,74,0.25
"159",9,78,0.5
"160",21,98,0.5
"161",22,100,0.75
"162",20,96,1.5
"163",18,93,0.375
"164",20,96,1
"165",16,90,0.75
"166",15,88,0.5
"167",19,95,0.375
"168",18,93,0.5
"169",14,86,0.5
"170",13,84,1
"171",11,81,0.5
"172",12,83,0.75
"173",13,84,1
"174",9,78,0.5
"175",10,79,1
"176",6,72,2
"177",2,66,1
"178",4,69,1
"179",2,66,2
"180",4,69,3
"181",5,71,0.5
"182",4,69,0.75
"183",2,66,0.5
"184",6,72,0.5
"185",10,79,1
"186",9,78,0.5
"187",5,71,2
"188",1,64,0.5
"189",3,67,1.5
"190",8,76,0.5
"191",6,72,0.25
"192",4,69,0.5
"193",1,64,0.5
"194",2,66,1
"195",1,64,1
"196",1,64,0.75
"197",3,67,0.125
"198",10,79,1.5
"199",9,78,0.75
"200",10,79,0.25
"201",1,64,1
"202",1,64,1.5
"203",5,71,1
"204",1,64,1
"205",1,64,0.375
"206",1,64,0.5
"207",3,67,1
"208",5,71,0.375
"209",5,71,0.125
"210",4,69,1
"211",2,66,0.75
"212",3,67,2
"213",1,64,0.375
"214",2,66,0.375
"215",5,71,0.1875
"216",7,74,1
"217",11,81,1
"218",9,78,1
"219",7,74,0.5
"220",6,72,0.75
"221",5,71,0.5
"222",7,74,0.75
"223",3,67,1.5
"224",1,64,0.1875
"225",5,71,1
"226",6,72,1
"227",6,72,0.125
"228",7,74,0.5
"229",8,76,0.375
"230",10,79,1
"231",12,83,3
"232",1,64,0.75
"233",1,64,4
"234",5,71,0.25
"235",7,74,1
"236",5,71,1
"237",7,74,0.375
"238",6,72,0.5
"239",5,71,0.75
"240",1,64,1.5
"241",22,100,0.1875
"242",22,100,0.375
"243",1,64,1
"244",3,67,0.5
"245",1,64,1.5
"246",3,67,0.5
"247",3,67,0.25
"248",1,64,3
"249",2,66,0.5
"250",4,69,1.5
"251",3,67,0.5
"252",3,67,1
"253",7,74,0.5
"254",6,72,1.5
"255",7,74,1
"256",9,78,1
"257",10,79,0.75
"258",14,86,0.375
"259",13,84,0.375
"260",17,91,0.5
"261",15,88,1
"262",19,95,0.25
"263",18,93,1
"264",19,95,0.25
"265",11,81,4
"266",15,88,1.5
"267",11,81,1
"268",10,79,0.5
"269",11,81,0.75
"270",13,84,0.5
"271",11,81,1.5
"272",4,69,0.5
"273",8,76,0.375
"274",4,69,1.5
"275",9,78,0.125
"276",5,71,1
"277",1,64,0.5
"278",3,67,1
"279",4,69,0.75
"280",10,79,0.75
"281",12,83,0.5
"282",10,79,0.375
"283",9,78,0.75
"284",7,74,0.375
"285",7,74,0.25
"286",5,71,1.5
"287",3,67,0.25
"288",5,71,0.375
"289",4,69,4
"290",3,67,0.5
"291",3,67,0.375
"292",2,66,0.5
"293",2,66,0.25
"294",3,67,1
"295",7,74,0.375
"296",3,67,1
"297",7,74,0.75
"298",8,76,3
"299",7,74,0.375
"300",8,76,2
"301",10,79,0.375
"302",10,79,0.375
"303",8,76,0.75
"304",6,72,0.375
"305",4,69,0.75
"306",5,71,1
"307",7,74,4
"308",9,78,4
"309",13,84,1
"310",11,81,0.375
"311",13,84,0.1875
"312",4,69,2
"313",6,72,0.375
"314",2,66,0.75
"315",1,64,0.5
"316",5,71,0.75
"317",1,64,0.75
"318",3,67,3
"319",4,69,2
"320",5,71,0.25
"321",4,69,1.5
"322",5,71,1
"323",1,64,0.5
"324",2,66,0.75
"325",2,66,3
"326",4,69,0.5
"327",8,76,4
"328",7,74,4
"329",8,76,0.125
"330",7,74,1
"331",11,81,1.5
"332",10,79,0.5
"333",9,78,0.75
"334",8,76,0.75
"335",10,79,0.5
"336",14,86,1.5
"337",14,86,0.5
"338",22,100,3
"339",22,100,0.5
"340",21,98,0.5
"341",19,95,0.75
"342",21,98,0.75
"343",17,91,0.75
"344",18,93,1
"345",17,91,0.75
"346",19,95,2
"347",21,98,0.25
"348",21,98,1
"349",19,95,0.75
"350",18,93,0.75
"351",17,91,0.5
"352",13,84,4
"353",9,78,0.125
"354",13,84,0.5
"355",11,81,1
"356",4,69,0.5
"357",6,72,0.75
"358",10,79,0.75
"359",10,79,0.125
"360",14,86,3
"361",16,90,3
"362",12,83,0.75
"363",1,64,0.5
"364",2,66,0.125
"365",3,67,1.5
"366",2,66,0.5
"367",1,64,0.1875
"368",6,72,1
"369",8,76,1
"370",4,69,0.125
"371",5,71,2
"372",3,67,1
"373",2,66,0.125
"374",2,66,0.25
"375",2,66,0.5
"376",1,64,1.5
"377",3,67,0.5
"378",4,69,0.375
"379",6,72,0.1875
"380",7,74,0.5
"381",8,76,0.375
"382",7,74,0.375
"383",12,83,0.25
"384",12,83,1.5
"385",14,86,0.5
"386",16,90,0.25
"387",14,86,0.375
"388",16,90,1
"389",15,88,1
"390",13,84,0.75
"391",14,86,1
"392",18,93,0.25
"393",22,100,0.375
"394",18,93,0.75
"395",22,100,0.5
"396",15,88,0.5
"397",14,86,3
"398",12,83,1
"399",13,84,1
"400",15,88,0.75
"401",17,91,0.25
"402",18,93,3
"403",17,91,1
"404",19,95,0.25
"405",17,91,1.5
"406",13,84,0.375
"407",14,86,0.5
"408",13,84,0.75
"409",12,83,0.375
"410",16,90,0.75
"411",2,66,0.25
"412",4,69,0.75
"413",2,66,0.25
"414",3,67,1.5
"415",7,74,1.5
"416",8,76,3
"417",4,69,0.375
"418",3,67,0.125
"419",4,69,0.1875
"420",8,76,3
"421",10,79,0.5
"422",8,76,3
"423",6,72,0.75
"424",5,71,0.5
"425",7,74,1
"426",11,81,0.5
"427",12,83,1.5
"428",13,84,1
"429",12,83,0.25
"430",14,86,0.5
"431",13,84,0.75
"432",14,86,3
"433",8,76,0.5
"434",4,69,0.1875
"435",2,66,0.75
"436",1,64,1.5
"437",2,66,0.75
"438",1,64,0.25
"439",2,66,4
"440",1,64,0.25
"441",5,71,0.75
"442",4,69,0.75
"443",5,71,1
"444",9,78,1.5
"445",7,74,1
"446",8,76,0.1875
"447",4,69,0.75
"448",5,71,1
"449",6,72,2
"450",7,74,0.75
"451",8,76,0.125
"452",2,66,1.5
"453",5,71,0.125
"454",5,71,0.25
"455",15,88,0.1875
"456",11,81,1
"457",13,84,3
"458",4,69,1
"459",8,76,2
"460",9,78,0.5
"461",5,71,1
"462",8,76,0.5
"463",4,69,0.125
"464",2,66,0.25
"465",4,69,0.75
"466",5,71,0.5
"467",4,69,1
"468",17,91,0.5
"469",15,88,4
"470",17,91,1
"471",13,84,0.375
"472",15,88,0.75
"473",14,86,0.75
"474",8,76,0.375
"475",6,72,1
"476",7,74,0.75
"477",8,76,3
"478",9,78,0.75
"479",7,74,0.75
"480",6,72,0.5
"481",8,76,0.5
"482",7,74,0.1875
"483",3,67,0.25
"484",3,67,0.75
"485",3,67,0.75
"486",18,93,0.25
"487",20,96,0.25
"488",18,93,0.75
"489",22,100,2
"490",20,96,0.5
"491",18,93,0.375
"492",22,100,0.5
"493",20,96,1
"494",13,84,0.75
"495",3,67,1
"496",7,74,0.75
"497",8,76,0.375
"498",6,72,0.5
"499",5,71,0.5
"500",4,69,4
"501",6,72,0.125
"502",4,69,1
"503",2,66,1
"504",20,96,0.5
"505",18,93,1.5
"506",17,91,1.5
"507",18,93,0.25
"508",19,95,0.75
"509",18,93,0.25
"510",16,90,0.125
