"","state","note","duration"
"1",2,62,0.375
"2",11,77,0.375
"3",13,81,1
"4",22,96,2
"5",5,67,0.1875
"6",20,93,4
"7",18,89,0.1875
"8",2,62,0.125
"9",1,60,0.75
"10",20,93,0.125
"11",3,64,0.1875
"12",2,62,3
"13",11,77,0.375
"14",18,89,0.75
"15",7,71,2
"16",4,65,1
"17",5,67,0.5
"18",5,67,0.5
"19",13,81,2
"20",3,64,0.375
"21",4,65,0.5
"22",13,81,2
"23",14,83,0.375
"24",6,69,0.25
"25",6,69,0.25
"26",8,72,1.5
"27",3,64,0.125
"28",22,96,3
"29",2,62,0.25
"30",9,74,0.125
"31",21,95,0.75
"32",7,71,1.5
"33",9,74,1
"34",20,93,0.75
"35",19,91,0.25
"36",11,77,0.75
"37",8,72,2
"38",22,96,0.125
"39",1,60,0.125
"40",16,86,0.25
"41",1,60,3
"42",7,71,0.1875
"43",21,95,0.375
"44",9,74,4
"45",22,96,0.375
"46",14,83,0.25
"47",5,67,4
"48",15,84,2
"49",3,64,0.375
"50",10,76,0.75
"51",1,60,0.375
"52",2,62,0.1875
"53",17,88,4
"54",20,93,2
"55",2,62,0.125
"56",18,89,0.25
"57",22,96,0.125
"58",2,62,0.125
"59",17,88,3
"60",8,72,0.25
"61",16,86,0.25
"62",10,76,1.5
"63",17,88,3
"64",15,84,3
"65",16,86,1.5
"66",10,76,3
"67",9,74,0.25
"68",1,60,0.125
"69",12,79,0.375
"70",15,84,3
"71",20,93,0.125
"72",9,74,0.125
"73",2,62,0.1875
"74",4,65,0.375
"75",18,89,0.1875
"76",20,93,3
"77",3,64,0.1875
"78",4,65,3
"79",3,64,0.75
"80",17,88,0.5
"81",14,83,0.25
"82",14,83,4
"83",21,95,4
"84",11,77,0.1875
"85",16,86,1
"86",3,64,0.125
"87",15,84,2
"88",10,76,0.75
"89",8,72,2
"90",9,74,0.75
"91",21,95,4
"92",18,89,0.1875
"93",8,72,2
"94",17,88,4
"95",13,81,4
"96",4,65,0.75
"97",8,72,0.375
"98",21,95,0.125
"99",14,83,0.75
"100",1,60,0.25
"101",12,79,1.5
"102",20,93,0.125
"103",3,64,4
"104",2,62,0.25
"105",18,89,0.5
"106",13,81,3
"107",21,95,0.125
"108",3,64,3
"109",18,89,0.375
"110",21,95,1.5
"111",18,89,1.5
"112",6,69,0.25
"113",12,79,1.5
"114",8,72,0.375
"115",20,93,1.5
"116",13,81,0.1875
"117",11,77,0.125
"118",6,69,0.5
"119",17,88,2
"120",21,95,1.5
"121",10,76,3
"122",18,89,1.5
"123",15,84,3
"124",22,96,0.125
"125",18,89,0.375
"126",8,72,3
"127",22,96,2
"128",17,88,1.5
"129",6,69,4
"130",17,88,0.5
"131",9,74,3
"132",13,81,0.25
"133",10,76,0.75
"134",12,79,0.25
"135",4,65,1
"136",2,62,0.5
"137",11,77,2
"138",17,88,0.125
"139",8,72,0.125
"140",5,67,3
"141",11,77,0.25
"142",8,72,1.5
"143",2,62,0.25
"144",10,76,2
"145",14,83,4
"146",1,60,1.5
"147",12,79,0.375
"148",18,89,3
"149",16,86,0.125
"150",5,67,0.125
"151",12,79,3
"152",6,69,0.125
"153",18,89,1
"154",3,64,1
"155",4,65,3
"156",15,84,0.25
"157",10,76,0.375
"158",17,88,1.5
"159",8,72,0.75
"160",5,67,3
"161",22,96,2
"162",15,84,0.75
"163",10,76,1
"164",4,65,0.375
"165",2,62,0.1875
"166",20,93,0.125
"167",15,84,2
"168",5,67,0.5
"169",22,96,1.5
"170",18,89,1.5
"171",16,86,1
"172",6,69,2
"173",11,77,1
"174",2,62,4
"175",14,83,0.5
"176",14,83,1
"177",1,60,1
"178",7,71,0.1875
"179",15,84,0.5
"180",19,91,0.25
"181",18,89,0.1875
"182",3,64,0.25
"183",22,96,0.75
"184",16,86,0.1875
"185",17,88,0.375
"186",13,81,0.125
"187",6,69,0.1875
"188",22,96,0.125
"189",2,62,0.125
"190",17,88,2
"191",20,93,3
"192",2,62,4
"193",18,89,0.1875
"194",9,74,0.75
"195",6,69,0.5
"196",11,77,0.375
"197",2,62,2
"198",17,88,1.5
"199",5,67,0.1875
"200",17,88,0.75
"201",10,76,3
"202",16,86,1
"203",15,84,1.5
"204",17,88,1.5
"205",17,88,0.125
"206",15,84,3
"207",18,89,1
"208",16,86,0.75
"209",6,69,0.375
"210",22,96,0.125
"211",12,79,0.375
"212",6,69,0.5
"213",6,69,0.375
"214",6,69,0.75
"215",17,88,1
"216",12,79,0.5
"217",6,69,0.375
"218",3,64,0.5
"219",22,96,0.25
"220",16,86,0.125
"221",7,71,4
"222",5,67,0.375
"223",9,74,0.75
"224",3,64,4
"225",12,79,0.25
"226",1,60,4
"227",22,96,0.1875
"228",14,83,2
"229",1,60,0.25
"230",19,91,0.375
"231",21,95,1
"232",18,89,0.1875
"233",16,86,0.75
"234",21,95,0.5
"235",13,81,0.125
"236",17,88,0.25
"237",7,71,1.5
"238",22,96,1.5
"239",19,91,2
"240",15,84,0.75
"241",17,88,0.75
"242",16,86,1.5
"243",18,89,1
"244",13,81,0.375
"245",6,69,2
"246",22,96,0.375
"247",3,64,0.5
"248",9,74,0.1875
"249",21,95,0.1875
"250",9,74,4
"251",2,62,0.25
"252",20,93,0.125
"253",21,95,0.25
"254",2,62,3
"255",5,67,0.25
"256",10,76,0.25
"257",1,60,0.125
"258",6,69,3
"259",8,72,0.75
"260",20,93,0.125
"261",6,69,0.1875
"262",18,89,4
"263",19,91,0.125
"264",11,77,4
"265",1,60,1
"266",22,96,0.75
"267",18,89,3
"268",7,71,0.5
"269",9,74,4
"270",5,67,1.5
"271",22,96,0.75
"272",19,91,3
"273",6,69,4
"274",1,60,0.25
"275",6,69,1
"276",1,60,2
"277",21,95,0.75
"278",6,69,0.1875
"279",6,69,0.1875
"280",19,91,0.375
"281",2,62,1.5
"282",7,71,0.5
"283",22,96,3
"284",9,74,0.25
"285",12,79,1
"286",21,95,1.5
"287",14,83,0.75
"288",12,79,1
"289",3,64,3
"290",1,60,0.375
"291",22,96,4
"292",18,89,0.75
"293",9,74,2
"294",11,77,0.1875
"295",14,83,1
"296",1,60,1
"297",21,95,3
"298",20,93,1.5
"299",3,64,0.125
"300",22,96,3
"301",1,60,3
"302",21,95,0.75
"303",8,72,4
"304",2,62,1.5
"305",13,81,0.5
"306",15,84,3
"307",18,89,0.25
"308",15,84,0.375
"309",9,74,2
"310",13,81,0.5
"311",1,60,1
"312",10,76,0.75
"313",15,84,4
"314",3,64,1.5
"315",4,65,3
"316",21,95,2
"317",7,71,0.125
"318",15,84,0.125
"319",21,95,1.5
"320",15,84,1.5
"321",18,89,1
"322",9,74,0.1875
"323",5,67,0.75
"324",1,60,0.25
"325",7,71,0.125
"326",6,69,0.375
"327",11,77,1
"328",17,88,3
"329",10,76,0.1875
"330",16,86,1.5
"331",14,83,2
"332",12,79,4
"333",11,77,1.5
"334",8,72,0.375
"335",15,84,1.5
"336",17,88,1
"337",20,93,0.125
"338",21,95,0.375
"339",21,95,0.125
"340",6,69,0.125
"341",11,77,3
"342",18,89,0.125
"343",19,91,1
"344",5,67,0.25
"345",7,71,0.25
"346",20,93,0.1875
"347",15,84,4
"348",21,95,0.125
"349",17,88,1
"350",20,93,0.25
"351",8,72,3
"352",22,96,1.5
"353",22,96,0.125
"354",11,77,1.5
"355",1,60,2
"356",21,95,4
"357",14,83,0.375
"358",12,79,4
"359",13,81,3
"360",18,89,0.75
"361",14,83,0.125
"362",18,89,0.5
"363",19,91,0.75
